thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
66,7,715,81.663194,172,281,109,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002074.SZ,国轩高科,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
67,7,716,81.663194,194,321,127,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002090.SZ,金智科技,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
68,7,717,81.663194,124,307,183,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002276.SZ,万马股份,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
69,7,718,81.663194,170,375,205,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00228.HK,CHINA ENERGY,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
70,7,719,81.663194,76,297,221,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002335.SZ,科华数据,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
71,7,720,81.663194,181,294,113,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002452.SZ,长高电气,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
72,7,721,81.663194,93,316,223,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002459.SZ,晶澳科技,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
73,7,722,81.663194,136,249,113,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002479.SZ,富春环保,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
74,7,723,81.663194,174,296,122,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002487.SZ,大金重工,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
75,7,724,81.663194,191,447,256,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,002506.SZ,协鑫集成,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
